State,Fruit,Seasonality
Alabama,Apples," July, August, September, October"
Alabama,Arugula," March, April, May, June, July, August, September, October, November"
Alabama,Asian Pears," August, September, October"
Alabama,Asparagus," March, April, May, June"
Alabama,Basil," May, June, July, August, September, October"
Alabama,Beets," April, May, June, July"
Alabama,Black Eyed Peas," May, June, July, August, September, October"
Alabama,Blackberries," June, July, August, September"
Alabama,Blueberries," May, June, July, August"
Alabama,Bok Choy," April, May, June, July, August, September, October"
Alabama,Boysenberries," June, July, August, September"
Alabama,Brambles," June, July, August, September"
Alabama,Broccoli," May, June, July, August"
Alabama,Brussels Sprouts," October, November"
Alabama,Cabbage," April, May, June, July, August, September, October"
Alabama,Cantaloupe," June, July, August, September"
Alabama,Cardoons," October, November, December"
Alabama,Carrots," January, February, March, April, May, June, July, August, September, October, November, December"
Alabama,Cauliflower," March, April, May, June, July"
Alabama,Celery," January, February, March, November, December"
Alabama,Celery Root," January, February, March, November, December"
Alabama,Chard," January, February, March, April, May, June, October, November, December"
Alabama,Cherries," June, July"
Alabama,Chicories," January, February, September, October, November, December"
Alabama,Chili Peppers," June, July, August, September, October"
Alabama,Chives," March, April, May, June, July, August, September, October"
Alabama,Cilantro," January, February, March, April, May, June, July, August, September, October, November, December"
Alabama,Citrus," October, November, December"
Alabama,Clementines," October, November, December"
Alabama,Collard Greens," January, February, March, April, May, June, July, August, September, October, November, December"
Alabama,Corn," May, June, July, August, September"
Alabama,Cucumbers," May, June, July, August, September, October, November"
Alabama,Edamame," June, July, August, September"
Alabama,Eggplant," May, June, July, August, September, October"
Alabama,Endive," January, February, September, October, November, December"
Alabama,Fava Beans," February, March, April, May"
Alabama,Fennel," January, February, March, April, October, November, December"
Alabama,Figs," July, August, September, October"
Alabama,Garlic," June, July, August"
Alabama,Garlic Scapes, May
Alabama,Gooseberries," July, August"
Alabama,Grapefruit," October, November, December"
Alabama,Grapes," July, August, September, October"
Alabama,Green Beans," May, June, July, August, September, October, November"
Alabama,Green Onions," January, February, March, April, May, June, July"
Alabama,Ground Cherries," June, July, August, September, October"
Alabama,Horseradish," January, February, December"
Alabama,Kale," January, February, March, April, May, June, October, November, December"
Alabama,Kohlrabi, January
Alabama,Lamb's Quarters," April, May, June, July, August, September, October"
Alabama,Lavender," July, August, September, October"
Alabama,Leeks," April, May, June, July, August"
Alabama,Lemons," October, November, December"
Alabama,Lettuce," March, April, May, June, July, August, September, October, November"
